pc11_state_id,pc11_district_id,year,nightlights_category,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,pc11_district_name,zone_indicator,num_sezs,mean_distance_to_chennai_km,coastal_district,mean_population_density_per_sq_km,current_districts_mapped,district_type,log_viirs_mean
33,609,2014,average-masked,0.8814512572164701,14518.109633902017,16470.68912210605,Namakkal,0,0,308.5,0,506,Namakkal,Non-SEZ district,0.632043424373218
33,610,2014,average-masked,0.5847600232280282,16112.639487995682,27554.276708331905,Erode,1,2,338.4,0,394,Erode,SEZ district,0.4604329909629123
33,611,2014,average-masked,0.3134800276749736,3841.001611581733,12252.77935589635,The Nilgiris,0,0,430.7,0,287,Nilgiris,Non-SEZ district,0.27268012460339525
33,612,2014,average-masked,0.4396315064501324,12919.74176838799,29387.66120906642,Dindigul,0,0,391.6,0,357,Dindigul,Non-SEZ district,0.36438718254183367
33,613,2014,average-masked,0.586172956529991,8026.180373871654,13692.51222605832,Karur,0,0,335.6,0,371,Karur,Non-SEZ district,0.46132416930347947
33,614,2014,average-masked,0.989260205287808,20651.42004446591,20875.61991686276,Tiruchirappalli,1,1,306.6,0,602,Tiruchirappalli,SEZ district,0.6877628134811778
33,615,2014,average-masked,0.4894942869853977,4038.960424743247,8251.292266591325,Perambalur,0,0,255,0,321,Perambalur,Non-SEZ district,0.39843665763876723
33,616,2014,average-masked,0.6472707052875502,5992.296147203669,9257.789821557875,Ariyalur,0,0,251.9,0,390,Ariyalur,Non-SEZ district,0.49911980034126413
33,617,2014,average-masked,1.4332525884866965,24964.303599443123,17417.937214962054,Cuddalore,0,0,158.5,1,704,Cuddalore,Non-SEZ district,0.8892288761219876
33,618,2014,average-masked,0.6996371063922966,8490.858995480063,12136.090150025742,Nagapattinam,0,0,245.95000000000002,1,694,Nagapattinam; Mayiladuthurai,Non-SEZ district,0.5304147614468233
33,619,2014,average-masked,0.6297990861625457,6765.757977391418,10742.7243481983,Thiruvarur,0,0,266.7,1,533,Tiruvarur,Non-SEZ district,0.4884567471985519
33,620,2014,average-masked,0.7961574551308845,13007.380053377994,16337.697988697026,Thanjavur,0,0,283.5,0,691,Thanjavur,Non-SEZ district,0.5856496359319291
33,621,2014,average-masked,0.4025599380038158,9150.024864775934,22729.59626869081,Pudukkottai,0,0,340.2,0,348,Pudukkottai,Non-SEZ district,0.3382990940461444
33,622,2014,average-masked,0.3102195765221652,6203.921600725982,19998.485170656888,Sivaganga,0,0,409.1,0,324,Sivaganga,Non-SEZ district,0.27019473883289896
33,623,2014,average-masked,0.8688157714444712,15347.52995982138,17664.88416100569,Madurai,1,2,422.1,0,819,Madurai,SEZ district,0.6253049529593058
33,624,2014,average-masked,0.3201771731241453,4178.174028683915,13049.568736943878,Theni,0,0,457.5,0,433,Theni,Non-SEZ district,0.2777659496550507
33,625,2014,average-masked,0.5580971920777347,11443.81472606907,20505.05698382929,Virudhunagar,0,0,464.8,0,454,Virudhunagar,Non-SEZ district,0.4434653280944576
33,626,2014,average-masked,0.2453704913836808,4778.747441431144,19475.6403448641,Ramanathapuram,0,0,442,1,320,Ramanathapuram,Non-SEZ district,0.21943306908820862
33,627,2014,average-masked,0.665530882044682,14827.499952566122,22279.20649904664,Thoothukkudi,1,1,533.8,1,378,Thoothukudi,SEZ district,0.5101439206860464
33,628,2014,average-masked,0.7794575842678533,24615.59048339798,31580.410506261836,Tirunelveli,1,3,559.25,0,435,Tirunelveli; Tenkasi,SEZ district,0.5763085899255925
33,629,2014,average-masked,1.0047442449773951,8096.181360629353,8057.952460142233,Kanniyakumari,0,0,630.5,1,1119,Kanniyakumari,Non-SEZ district,0.695516494007475
33,630,2014,average-masked,0.280809577758468,5965.663463597305,21244.51562947948,Dharmapuri,0,0,252.7,0,335,Dharmapuri,Non-SEZ district,0.24749236062249247
33,631,2014,average-masked,0.438737785958761,10806.570033695778,24631.044736847754,Krishnagiri,1,3,231.7,0,370,Krishnagiri,SEZ district,0.3637661916756173
33,632,2014,average-masked,1.2895107718055634,28917.13940659625,22424.89170222804,Coimbatore,1,4,427.4,0,748,Coimbatore,SEZ district,0.8283381579764342
33,633,2014,average-masked,0.8347973726653656,20536.78009504401,24600.916063587472,Tiruppur,0,0,386.8,0,478,Tiruppur,Non-SEZ district,0.6069340517937927
33,602,2022,average-masked,4.937658857655289,84494.84747034087,17112.329933312634,Thiruvallur,1,4,39.8,1,1098,Tiruvallur,SEZ district,1.781314923976374
33,603,2022,average-masked,30.194276782496093,25759.078445051447,853.1112909445219,Chennai,1,5,0,1,26553,Chennai,SEZ district,3.440234641530453
33,604,2022,average-masked,3.642619493206752,75070.18875785104,20608.847258916845,Kancheepuram,1,20,60.650000000000006,1,909.5,Kancheepuram; Chengalpattu,SEZ district,1.5352787528917808
33,605,2022,average-masked,1.310526724281042,38664.66350910352,29503.14769835392,Vellore,1,1,141.43333333333334,0,529.3333333333334,Vellore; Ranipet; Tirupathur,SEZ district,0.8374755177105648
33,606,2022,average-masked,0.7920309125078989,23448.216234699725,29605.178111613008,Tiruvannamalai,1,1,161,0,399,Tiruvannamalai,SEZ district,0.5833495646873801
33,607,2022,average-masked,1.0134941003417686,34829.76951858193,34366.030849944465,Viluppuram,0,0,179.65,1,456,Viluppuram; Kallakurichi,Non-SEZ district,0.6998715712538095
33,608,2022,average-masked,1.5814112509827387,39738.21184421122,25128.322452187334,Salem,1,1,279.5,0,663,Salem,SEZ district,0.9483362458904077
33,609,2022,average-masked,1.2612606279784535,20773.83170538536,16470.68912210605,Namakkal,0,0,308.5,0,506,Namakkal,Non-SEZ district,0.8159224577620733
33,610,2022,average-masked,0.878047399695508,24193.961014241333,27554.276708331905,Erode,1,2,338.4,0,394,Erode,SEZ district,0.6302326199220386
33,611,2022,average-masked,0.3913258182592423,4794.828907396091,12252.77935589635,The Nilgiris,0,0,430.7,0,287,Nilgiris,Non-SEZ district,0.33025711862533713
33,612,2022,average-masked,0.7381095829779608,21691.31435972161,29387.66120906642,Dindigul,0,0,391.6,0,357,Dindigul,Non-SEZ district,0.5527980760511618
33,613,2022,average-masked,1.009407517263063,13821.324771199665,13692.51222605832,Karur,0,0,335.6,0,371,Karur,Non-SEZ district,0.6978399110876822
33,614,2022,average-masked,1.4079200283049194,29391.203384232154,20875.61991686276,Tiruchirappalli,1,1,306.6,0,602,Tiruchirappalli,SEZ district,0.8787633160582551
33,615,2022,average-masked,0.9332908735110472,7700.855767081966,8251.292266591325,Perambalur,0,0,255,0,321,Perambalur,Non-SEZ district,0.6592236666660517
33,616,2022,average-masked,1.302293575739357,12056.360210160028,9257.789821557875,Ariyalur,0,0,251.9,0,390,Ariyalur,Non-SEZ district,0.8339058328978596
33,617,2022,average-masked,1.5033972856657432,26186.079530870287,17417.937214962054,Cuddalore,0,0,158.5,1,704,Cuddalore,Non-SEZ district,0.9176487236520879
33,618,2022,average-masked,1.0544484697670795,12796.881687649971,12136.090150025742,Nagapattinam,0,0,245.95000000000002,1,694,Nagapattinam; Mayiladuthurai,Non-SEZ district,0.7200074273850545
33,619,2022,average-masked,0.995808451785182,10697.695701134327,10742.7243481983,Thiruvarur,0,0,266.7,1,533,Tiruvarur,Non-SEZ district,0.6910492072447493
